installations,value_char,display,country,var,sector,size,value,year
All entities,1 729 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,1729500,2007
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2008
All entities,53 130 000.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,53130000,2008
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2009
All entities,79 315 050.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,79315050,2009
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2010
All entities,91 861 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,91861500,2010
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2011
All entities,92 942 565.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,92942565,2011
All entities,2 500 000.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,2500000,2012
All entities,125 034 099.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,125034099,2012
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2013
All entities,1108 398 000.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,1108398000,2013
All entities,9 278 000.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,9278000,2014
All entities,617 849 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,617849500,2014
All entities,16 390 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,16390500,2015
All entities,632 725 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,632725500,2015
All entities,5 997 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,5997500,2016
All entities,715 289 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,715289500,2016
All entities,4 730 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,4730500,2017
All entities,951 195 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,951195500,2017
All entities,5 601 500.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,5601500,2018
All entities,915 750 000.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,915750000,2018
All entities,2014 076 783.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,2014076783,2005
All entities,2035 788 998.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,2035788998,2006
All entities,2164 732 720.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,2164732720,2007
All entities,2119 673 820.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,2119673820,2008
All entities,1879 618 226.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1879618226,2009
All entities,  0.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,0,2010
All entities,1938 803 140.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1938803140,2010
All entities,  0.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,0,2011
All entities,1904 387 524.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1904387524,2011
All entities,83 979 600.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,83979600,2012
All entities,1867 026 629.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1867026629,2012
All entities,53 487 031.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,53487031,2013
All entities,1908 165 662.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1908165662,2013
All entities,54 832 616.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,54832616,2014
All entities,1813 829 709.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1813829709,2014
All entities,57 095 937.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,57095937,2015
All entities,1802 942 030.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1802942030,2015
All entities,61 473 762.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,61473762,2016
All entities,1750 458 889.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1750458889,2016
All entities,64 417 811.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,64417811,2017
All entities,1754 566 296.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1754566296,2017
All entities,67 001 190.000,Grid,All Countries,2. Verified emissions,10 Aviation,All sizes,67001190,2018
All entities,1682 023 022.000,Grid,All Countries,2. Verified emissions,20-99 All stationary installations,All sizes,1682023022,2018
All entities,354 774 956.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,354774956,2005
All entities,339 186 466.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,339186466,2006
All entities,233 904 290.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,233904290,2007
All entities,139 531 147.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,139531147,2008
All entities,121 984 049.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,121984049,2009
All entities,113 463 557.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,113463557,2010
All entities,106 786 716.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,106786716,2011
All entities,102 663 362.000,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,102663362,2012
All entities,,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,,2013
All entities,,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,,2014
All entities,,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,,2015
All entities,,Grid,All Countries,3. Estimate to reflect current ETS scope for allowances and emissions,20-99 All stationary installations,All sizes,,2016
All entities,1645 270 597.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1645270597,2005
All entities,2384 787 267.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,2384787267,2006
All entities,2151 843 409.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,2151843409,2007
All entities,2104 965 634.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,2104965634,2008
All entities,1910 682 151.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1910682151,2009
All entities,1931 014 489.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1931014489,2010
All entities,1887 322 683.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1887322683,2011
All entities,83 421 322.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,83421322,2012
All entities,1874 879 392.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1874879392,2012
All entities, 101 768.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,101768,2013
All entities,1909 566 642.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1909566642,2013
All entities,108 137 540.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,108137540,2014
All entities,1818 412 578.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1818412578,2014
All entities,57 010 057.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,57010057,2015
All entities,1792 055 539.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1792055539,2015
All entities,61 543 927.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,61543927,2016
All entities,1748 602 515.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1748602515,2016
All entities,62 960 003.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,62960003,2017
All entities,1751 984 884.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1751984884,2017
All entities,66 601 523.000,Grid,All Countries,4. Total surrendered units,10 Aviation,All sizes,66601523,2018
All entities,1679 204 495.000,Grid,All Countries,4. Total surrendered units,20-99 All stationary installations,All sizes,1679204495,2018
